mes_inicio;provincia_origen;provincia_destino;viajes;viajeros;edicion
2021-04;Catamarca;Buenos Aires;4;4;previaje 1
2021-04;Chaco;C¢rdoba;7;11;previaje 1
2021-04;Chaco;Entre R¡os;11;17;previaje 1
2021-04;Chaco;Mendoza;3;7;previaje 1
2021-04;Chaco;Misiones;5;12;previaje 1
2021-04;Chaco;R¡o Negro;10;22;previaje 1
2021-04;Chaco;Salta;3;14;previaje 1
2021-04;Chaco;Santa Cruz;12;34;previaje 1
2021-04;Chaco;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;24;54;previaje 1
2021-04;Chubut;Buenos Aires;5;11;previaje 1
2021-04;Chubut;Chubut;9;21;previaje 1
2021-04;Chubut;Ciudad Aut¢noma de Buenos Aires;6;15;previaje 1
2021-04;Chubut;Entre R¡os;11;18;previaje 1
2021-04;Chubut;Mendoza;3;5;previaje 1
2021-04;Chubut;Misiones;25;50;previaje 1
2021-04;Chubut;Neuqu‚n;5;19;previaje 1
2021-04;Chubut;R¡o Negro;5;10;previaje 1
2021-04;Chubut;Salta;11;21;previaje 1
2021-04;Chubut;Santiago del Estero;3;10;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Buenos Aires;112;259;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Catamarca;24;55;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Chaco;4;4;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Chubut;31;62;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Ciudad Aut¢noma de Buenos Aires;18;34;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;C¢rdoba;99;234;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Corrientes;25;61;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Entre R¡os;41;124;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Formosa;3;3;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Jujuy;51;104;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;La Rioja;10;16;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Mendoza;315;718;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Misiones;428;1175;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Neuqu‚n;121;255;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;R¡o Negro;503;1145;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Salta;260;585;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;San Juan;27;46;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;San Luis;21;43;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Santa Cruz;345;818;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Santa Fe;14;34;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Santiago del Estero;20;48;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;356;862;previaje 1
2021-04;Ciudad Aut¢noma de Buenos Aires;Tucum n;33;76;previaje 1
2021-04;C¢rdoba;Buenos Aires;8;20;previaje 1
2021-04;C¢rdoba;Catamarca;4;7;previaje 1
2021-04;C¢rdoba;Ciudad Aut¢noma de Buenos Aires;22;49;previaje 1
2021-04;C¢rdoba;C¢rdoba;62;166;previaje 1
2021-04;C¢rdoba;Corrientes;4;12;previaje 1
2021-04;C¢rdoba;Jujuy;12;27;previaje 1
2021-04;C¢rdoba;Mendoza;39;109;previaje 1
2021-04;C¢rdoba;Misiones;108;308;previaje 1
2021-04;C¢rdoba;Neuqu‚n;27;63;previaje 1
2021-04;C¢rdoba;R¡o Negro;135;307;previaje 1
2021-04;C¢rdoba;Salta;79;155;previaje 1
2021-04;C¢rdoba;San Juan;7;20;previaje 1
2021-04;C¢rdoba;San Luis;4;12;previaje 1
2021-04;C¢rdoba;Santa Cruz;48;121;previaje 1
2021-04;C¢rdoba;Santa Fe;3;8;previaje 1
2021-04;C¢rdoba;Santiago del Estero;13;48;previaje 1
2021-04;C¢rdoba;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;107;258;previaje 1
2021-04;C¢rdoba;Tucum n;6;11;previaje 1
2021-04;Corrientes;Buenos Aires;3;12;previaje 1
2021-04;Corrientes;Ciudad Aut¢noma de Buenos Aires;4;9;previaje 1
2021-04;Entre R¡os;Buenos Aires;13;37;previaje 1
2021-04;Entre R¡os;Ciudad Aut¢noma de Buenos Aires;4;4;previaje 1
2021-04;Entre R¡os;C¢rdoba;18;50;previaje 1
2021-04;Entre R¡os;Corrientes;3;7;previaje 1
2021-04;Entre R¡os;Entre R¡os;3;8;previaje 1
2021-04;Entre R¡os;Jujuy;12;35;previaje 1
2021-04;Entre R¡os;Mendoza;13;29;previaje 1
2021-04;Entre R¡os;Misiones;38;87;previaje 1
2021-04;Entre R¡os;Neuqu‚n;5;10;previaje 1
2021-04;Entre R¡os;R¡o Negro;16;38;previaje 1
2021-04;Entre R¡os;Salta;39;60;previaje 1
2021-04;Entre R¡os;San Luis;8;20;previaje 1
2021-04;Entre R¡os;Santa Cruz;17;30;previaje 1
2021-04;Entre R¡os;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;15;39;previaje 1
2021-04;Entre R¡os;Tucum n;11;13;previaje 1
2021-04;Formosa;R¡o Negro;5;6;previaje 1
2021-04;Jujuy;Buenos Aires;3;8;previaje 1
2021-04;Jujuy;Jujuy;8;20;previaje 1
2021-04;Jujuy;R¡o Negro;3;8;previaje 1
2021-04;Jujuy;Salta;6;18;previaje 1
2021-04;La Pampa;Misiones;8;27;previaje 1
2021-04;La Pampa;Santa Cruz;4;7;previaje 1
2021-04;La Rioja;Misiones;6;20;previaje 1
2021-04;La Rioja;San Juan;12;24;previaje 1
2021-04;Mendoza;Buenos Aires;9;17;previaje 1
2021-04;Mendoza;Ciudad Aut¢noma de Buenos Aires;17;44;previaje 1
2021-04;Mendoza;C¢rdoba;10;25;previaje 1
2021-04;Mendoza;Mendoza;24;69;previaje 1
2021-04;Mendoza;Misiones;67;169;previaje 1
2021-04;Mendoza;Neuqu‚n;8;18;previaje 1
2021-04;Mendoza;R¡o Negro;27;63;previaje 1
2021-04;Mendoza;Salta;7;13;previaje 1
2021-04;Mendoza;San Juan;3;8;previaje 1
2021-04;Mendoza;San Luis;5;13;previaje 1
2021-04;Mendoza;Santa Cruz;11;35;previaje 1
2021-04;Mendoza;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;22;52;previaje 1
2021-04;Misiones;Buenos Aires;3;12;previaje 1
2021-04;Misiones;Ciudad Aut¢noma de Buenos Aires;9;21;previaje 1
2021-04;Misiones;Misiones;11;25;previaje 1
2021-04;Misiones;R¡o Negro;5;13;previaje 1
2021-04;Misiones;Salta;5;10;previaje 1
2021-04;Misiones;Santa Cruz;6;13;previaje 1
2021-04;Misiones;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;47;58;previaje 1
2021-04;Neuqu‚n;Buenos Aires;9;11;previaje 1
2021-04;Neuqu‚n;Ciudad Aut¢noma de Buenos Aires;13;28;previaje 1
2021-04;Neuqu‚n;C¢rdoba;10;31;previaje 1
2021-04;Neuqu‚n;Jujuy;6;29;previaje 1
2021-04;Neuqu‚n;Mendoza;3;6;previaje 1
2021-04;Neuqu‚n;Misiones;41;109;previaje 1
2021-04;Neuqu‚n;Neuqu‚n;25;71;previaje 1
2021-04;Neuqu‚n;R¡o Negro;13;32;previaje 1
2021-04;Neuqu‚n;Salta;55;104;previaje 1
2021-04;Neuqu‚n;Santa Cruz;5;12;previaje 1
2021-04;Neuqu‚n;Santa Fe;5;14;previaje 1
2021-04;Neuqu‚n;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;6;17;previaje 1
2021-04;R¡o Negro;Buenos Aires;9;16;previaje 1
2021-04;R¡o Negro;Ciudad Aut¢noma de Buenos Aires;22;38;previaje 1
2021-04;R¡o Negro;C¢rdoba;8;29;previaje 1
2021-04;R¡o Negro;Jujuy;4;9;previaje 1
2021-04;R¡o Negro;Mendoza;4;9;previaje 1
2021-04;R¡o Negro;Misiones;43;193;previaje 1
2021-04;R¡o Negro;Neuqu‚n;18;63;previaje 1
2021-04;R¡o Negro;R¡o Negro;28;79;previaje 1
2021-04;R¡o Negro;Salta;12;27;previaje 1
2021-04;R¡o Negro;Santa Cruz;7;13;previaje 1
2021-04;R¡o Negro;Santiago del Estero;4;4;previaje 1
2021-04;Salta;Buenos Aires;9;18;previaje 1
2021-04;Salta;Ciudad Aut¢noma de Buenos Aires;15;30;previaje 1
2021-04;Salta;Jujuy;18;41;previaje 1
2021-04;Salta;Misiones;4;17;previaje 1
2021-04;Salta;R¡o Negro;7;19;previaje 1
2021-04;Salta;Salta;25;59;previaje 1
2021-04;Salta;Santa Cruz;10;28;previaje 1
2021-04;Salta;Santiago del Estero;4;11;previaje 1
2021-04;Salta;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;7;21;previaje 1
2021-04;San Juan;Misiones;6;15;previaje 1
2021-04;San Juan;R¡o Negro;3;6;previaje 1
2021-04;San Juan;San Juan;3;10;previaje 1
2021-04;Santa Cruz;Ciudad Aut¢noma de Buenos Aires;3;4;previaje 1
2021-04;Santa Cruz;Santa Cruz;13;31;previaje 1
2021-04;Santa Cruz;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;12;33;previaje 1
2021-04;Santa Fe;Buenos Aires;30;70;previaje 1
2021-04;Santa Fe;Catamarca;15;30;previaje 1
2021-04;Santa Fe;Chubut;3;6;previaje 1
2021-04;Santa Fe;Ciudad Aut¢noma de Buenos Aires;8;16;previaje 1
2021-04;Santa Fe;C¢rdoba;70;203;previaje 1
2021-04;Santa Fe;Corrientes;9;22;previaje 1
2021-04;Santa Fe;Jujuy;12;39;previaje 1
2021-04;Santa Fe;Mendoza;96;255;previaje 1
2021-04;Santa Fe;Misiones;130;428;previaje 1
2021-04;Santa Fe;Neuqu‚n;29;94;previaje 1
2021-04;Santa Fe;R¡o Negro;207;464;previaje 1
2021-04;Santa Fe;Salta;154;369;previaje 1
2021-04;Santa Fe;San Juan;3;3;previaje 1
2021-04;Santa Fe;San Luis;12;29;previaje 1
2021-04;Santa Fe;Santa Cruz;77;174;previaje 1
2021-04;Santa Fe;Santa Fe;7;24;previaje 1
2021-04;Santa Fe;Santiago del Estero;5;13;previaje 1
2021-04;Santa Fe;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;81;209;previaje 1
2021-04;Santa Fe;Tucum n;4;8;previaje 1
2021-04;Santiago del Estero;R¡o Negro;5;33;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Buenos Aires;10;22;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Ciudad Aut¢noma de Buenos Aires;11;15;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;C¢rdoba;5;5;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Misiones;3;14;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Salta;4;7;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Santa Cruz;11;27;previaje 1
2021-04;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;15;38;previaje 1
2021-04;Tucum n;Buenos Aires;5;5;previaje 1
2021-04;Tucum n;Ciudad Aut¢noma de Buenos Aires;11;22;previaje 1
2021-04;Tucum n;C¢rdoba;6;10;previaje 1
2021-04;Tucum n;Jujuy;13;38;previaje 1
2021-04;Tucum n;Mendoza;6;9;previaje 1
2021-04;Tucum n;Misiones;3;14;previaje 1
2021-04;Tucum n;Neuqu‚n;13;31;previaje 1
2021-04;Tucum n;R¡o Negro;31;81;previaje 1
2021-04;Tucum n;Salta;11;28;previaje 1
2021-04;Tucum n;Santa Cruz;8;18;previaje 1
2021-04;Tucum n;Santiago del Estero;9;28;previaje 1
2021-05;Buenos Aires;Buenos Aires;71;171;previaje 1
2021-05;Buenos Aires;Catamarca;15;29;previaje 1
2021-05;Buenos Aires;Chubut;13;34;previaje 1
2021-05;Buenos Aires;Ciudad Aut¢noma de Buenos Aires;12;28;previaje 1
2021-05;Buenos Aires;C¢rdoba;31;68;previaje 1
2021-05;Buenos Aires;Corrientes;8;19;previaje 1
2021-05;Buenos Aires;Entre R¡os;6;18;previaje 1
2021-05;Buenos Aires;Jujuy;41;104;previaje 1
2021-05;Buenos Aires;La Rioja;14;26;previaje 1
2021-05;Buenos Aires;Mendoza;105;228;previaje 1
2021-05;Buenos Aires;Misiones;376;1057;previaje 1
2021-05;Buenos Aires;Neuqu‚n;25;54;previaje 1
2021-05;Buenos Aires;R¡o Negro;373;822;previaje 1
2021-05;Buenos Aires;Salta;276;672;previaje 1
2021-05;Buenos Aires;San Juan;16;35;previaje 1
2021-05;Buenos Aires;San Luis;18;56;previaje 1
2021-05;Buenos Aires;Santa Cruz;125;333;previaje 1
2021-05;Buenos Aires;Santiago del Estero;99;297;previaje 1
2021-05;Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;176;422;previaje 1
2021-05;Buenos Aires;Tucum n;39;68;previaje 1
2021-05;Chaco;Buenos Aires;5;6;previaje 1
2021-05;Chaco;Ciudad Aut¢noma de Buenos Aires;3;6;previaje 1
2021-05;Chaco;Mendoza;6;14;previaje 1
2021-05;Chaco;R¡o Negro;10;23;previaje 1
2021-05;Chaco;San Luis;42;92;previaje 1
2021-05;Chaco;Santa Cruz;4;8;previaje 1
2021-05;Chaco;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;9;43;previaje 1
2021-05;Chubut;Buenos Aires;4;10;previaje 1
2021-05;Chubut;Ciudad Aut¢noma de Buenos Aires;13;30;previaje 1
2021-05;Chubut;C¢rdoba;4;7;previaje 1
2021-05;Chubut;Jujuy;7;9;previaje 1
2021-05;Chubut;Misiones;8;26;previaje 1
2021-05;Chubut;R¡o Negro;3;8;previaje 1
2021-05;Chubut;Salta;5;16;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Buenos Aires;36;89;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Catamarca;13;31;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Chaco;4;8;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Chubut;15;47;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Ciudad Aut¢noma de Buenos Aires;22;57;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;C¢rdoba;32;68;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Corrientes;8;22;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Entre R¡os;3;5;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Jujuy;41;88;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;La Rioja;3;5;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Mendoza;171;442;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Misiones;274;855;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Neuqu‚n;14;35;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;R¡o Negro;283;668;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Salta;169;372;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;San Juan;7;14;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;San Luis;3;9;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Santa Cruz;143;380;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Santa Fe;7;18;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Santiago del Estero;25;67;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;183;449;previaje 1
2021-05;Ciudad Aut¢noma de Buenos Aires;Tucum n;22;50;previaje 1
2021-05;C¢rdoba;Catamarca;5;7;previaje 1
2021-05;C¢rdoba;Ciudad Aut¢noma de Buenos Aires;17;37;previaje 1
2021-05;C¢rdoba;C¢rdoba;18;45;previaje 1
2021-05;C¢rdoba;Jujuy;3;8;previaje 1
2021-05;C¢rdoba;La Rioja;3;4;previaje 1
2021-05;C¢rdoba;Mendoza;19;38;previaje 1
2021-05;C¢rdoba;Misiones;60;180;previaje 1
2021-05;C¢rdoba;Neuqu‚n;5;9;previaje 1
2021-05;C¢rdoba;R¡o Negro;29;91;previaje 1
2021-05;C¢rdoba;Salta;16;30;previaje 1
2021-05;C¢rdoba;Santa Cruz;27;85;previaje 1
2021-05;C¢rdoba;Santiago del Estero;14;42;previaje 1
2021-05;C¢rdoba;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;31;88;previaje 1
2021-05;C¢rdoba;Tucum n;3;6;previaje 1
2021-05;Corrientes;Mendoza;3;4;previaje 1
2021-05;Entre R¡os;Ciudad Aut¢noma de Buenos Aires;5;6;previaje 1
2021-05;Entre R¡os;C¢rdoba;14;18;previaje 1
2021-05;Entre R¡os;La Rioja;9;22;previaje 1
2021-05;Entre R¡os;Mendoza;17;41;previaje 1
2021-05;Entre R¡os;Misiones;7;15;previaje 1
2021-05;Entre R¡os;R¡o Negro;22;39;previaje 1
2021-05;Entre R¡os;Salta;27;46;previaje 1
2021-05;Entre R¡os;San Luis;33;93;previaje 1
2021-05;Entre R¡os;Santa Cruz;5;11;previaje 1
2021-05;Entre R¡os;Santiago del Estero;24;63;previaje 1
2021-05;Entre R¡os;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;30;71;previaje 1
2021-05;Jujuy;Jujuy;4;7;previaje 1
2021-05;La Pampa;Misiones;4;13;previaje 1
2021-05;Mendoza;Buenos Aires;6;16;previaje 1
2021-05;Mendoza;Ciudad Aut¢noma de Buenos Aires;21;51;previaje 1
2021-05;Mendoza;C¢rdoba;3;6;previaje 1
2021-05;Mendoza;Mendoza;5;20;previaje 1
2021-05;Mendoza;Misiones;47;125;previaje 1
2021-05;Mendoza;R¡o Negro;7;25;previaje 1
2021-05;Mendoza;Salta;6;14;previaje 1
2021-05;Mendoza;Santa Fe;3;3;previaje 1
2021-05;Mendoza;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;6;14;previaje 1
2021-05;Misiones;Buenos Aires;4;8;previaje 1
2021-05;Misiones;Mendoza;8;30;previaje 1
2021-05;Misiones;Misiones;10;46;previaje 1
2021-05;Misiones;R¡o Negro;4;9;previaje 1
2021-05;Misiones;Salta;3;12;previaje 1
2021-05;Misiones;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;11;22;previaje 1
2021-05;Neuqu‚n;Ciudad Aut¢noma de Buenos Aires;10;19;previaje 1
2021-05;Neuqu‚n;Misiones;22;66;previaje 1
2021-05;Neuqu‚n;R¡o Negro;9;40;previaje 1
2021-05;Neuqu‚n;Salta;23;60;previaje 1
2021-05;Neuqu‚n;Santa Cruz;3;12;previaje 1
2021-05;Neuqu‚n;Tucum n;5;6;previaje 1
2021-05;R¡o Negro;Buenos Aires;4;7;previaje 1
2021-05;R¡o Negro;Ciudad Aut¢noma de Buenos Aires;17;38;previaje 1
2021-05;R¡o Negro;Misiones;19;52;previaje 1
2021-05;R¡o Negro;R¡o Negro;14;33;previaje 1
2021-05;R¡o Negro;Salta;11;33;previaje 1
2021-05;Salta;Buenos Aires;5;6;previaje 1
2021-05;Salta;Ciudad Aut¢noma de Buenos Aires;17;53;previaje 1
2021-05;Salta;Jujuy;5;16;previaje 1
2021-05;Salta;Mendoza;6;30;previaje 1
2021-05;Salta;Misiones;4;10;previaje 1
2021-05;Salta;R¡o Negro;10;30;previaje 1
2021-05;Salta;Salta;13;34;previaje 1
2021-05;Salta;Tucum n;3;6;previaje 1
2021-05;San Juan;Misiones;3;7;previaje 1
2021-05;San Juan;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;3;13;previaje 1
2021-05;San Luis;Ciudad Aut¢noma de Buenos Aires;4;8;previaje 1
2021-05;San Luis;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;3;15;previaje 1
2021-05;Santa Cruz;Ciudad Aut¢noma de Buenos Aires;10;14;previaje 1
2021-05;Santa Cruz;Santa Cruz;3;8;previaje 1
2021-05;Santa Cruz;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;6;15;previaje 1
2021-05;Santa Fe;Ciudad Aut¢noma de Buenos Aires;5;18;previaje 1
2021-05;Santa Fe;C¢rdoba;13;44;previaje 1
2021-05;Santa Fe;Jujuy;15;27;previaje 1
2021-05;Santa Fe;La Rioja;5;13;previaje 1
2021-05;Santa Fe;Mendoza;29;79;previaje 1
2021-05;Santa Fe;Misiones;44;117;previaje 1
2021-05;Santa Fe;Neuqu‚n;4;8;previaje 1
2021-05;Santa Fe;R¡o Negro;50;128;previaje 1
2021-05;Santa Fe;Salta;65;145;previaje 1
2021-05;Santa Fe;San Juan;3;5;previaje 1
2021-05;Santa Fe;Santa Cruz;15;37;previaje 1
2021-05;Santa Fe;Santa Fe;3;8;previaje 1
2021-05;Santa Fe;Santiago del Estero;9;22;previaje 1
2021-05;Santa Fe;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;37;84;previaje 1
2021-05;Santa Fe;Tucum n;17;32;previaje 1
2021-05;Santiago del Estero;Santa Cruz;9;26;previaje 1
2021-05;Santiago del Estero;Santiago del Estero;7;14;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Buenos Aires;11;21;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Chaco;3;3;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Ciudad Aut¢noma de Buenos Aires;10;18;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Mendoza;7;14;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Santa Cruz;4;5;previaje 1
2021-05;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;3;8;previaje 1
2021-05;Tucum n;Ciudad Aut¢noma de Buenos Aires;13;37;previaje 1
2021-05;Tucum n;R¡o Negro;11;43;previaje 1
2021-05;Tucum n;Salta;11;23;previaje 1
2021-05;Tucum n;Santa Cruz;9;18;previaje 1
2021-05;Tucum n;Tucum n;4;8;previaje 1
2021-06;Buenos Aires;Buenos Aires;24;47;previaje 1
2021-06;Buenos Aires;Chubut;19;51;previaje 1
2021-06;Buenos Aires;Ciudad Aut¢noma de Buenos Aires;5;13;previaje 1
2021-06;Buenos Aires;C¢rdoba;31;60;previaje 1
2021-06;Buenos Aires;Corrientes;15;28;previaje 1
2021-06;Buenos Aires;Entre R¡os;9;17;previaje 1
2021-06;Buenos Aires;Jujuy;23;52;previaje 1
2021-06;Buenos Aires;La Rioja;18;30;previaje 1
2021-06;Buenos Aires;Mendoza;55;135;previaje 1
2021-06;Buenos Aires;Misiones;129;372;previaje 1
2021-06;Buenos Aires;Neuqu‚n;90;255;previaje 1
2021-06;Buenos Aires;R¡o Negro;421;1175;previaje 1
2021-06;Buenos Aires;Salta;122;315;previaje 1
2021-06;Buenos Aires;San Juan;5;7;previaje 1
2021-06;Buenos Aires;San Luis;3;4;previaje 1
2021-06;Buenos Aires;Santa Cruz;45;120;previaje 1
2021-06;Buenos Aires;Santiago del Estero;33;87;previaje 1
2021-06;Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;155;434;previaje 1
2021-06;Buenos Aires;Tucum n;14;31;previaje 1
2021-06;Chaco;R¡o Negro;8;18;previaje 1
2021-06;Chaco;Santa Cruz;4;11;previaje 1
2021-06;Chaco;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;7;13;previaje 1
2021-06;Chubut;Buenos Aires;3;8;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Chubut;20;49;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Ciudad Aut¢noma de Buenos Aires;5;15;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;C¢rdoba;12;28;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Corrientes;7;16;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Entre R¡os;5;10;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Jujuy;12;27;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Mendoza;50;130;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Misiones;87;265;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Neuqu‚n;52;123;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;R¡o Negro;284;797;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Salta;61;134;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Santa Cruz;44;92;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Santa Fe;5;10;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Santiago del Estero;8;24;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;174;457;previaje 1
2021-06;Ciudad Aut¢noma de Buenos Aires;Tucum n;14;30;previaje 1
2021-06;C¢rdoba;Ciudad Aut¢noma de Buenos Aires;4;11;previaje 1
2021-06;C¢rdoba;C¢rdoba;12;25;previaje 1
2021-06;C¢rdoba;Corrientes;5;6;previaje 1
2021-06;C¢rdoba;Mendoza;11;42;previaje 1
2021-06;C¢rdoba;Misiones;33;78;previaje 1
2021-06;C¢rdoba;Neuqu‚n;11;45;previaje 1
2021-06;C¢rdoba;R¡o Negro;44;145;previaje 1
2021-06;C¢rdoba;Salta;12;25;previaje 1
2021-06;C¢rdoba;Santa Cruz;4;7;previaje 1
2021-06;C¢rdoba;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;16;34;previaje 1
2021-06;Corrientes;R¡o Negro;3;9;previaje 1
2021-06;Entre R¡os;La Rioja;8;22;previaje 1
2021-06;Entre R¡os;Mendoza;34;79;previaje 1
2021-06;Entre R¡os;Misiones;3;10;previaje 1
2021-06;Entre R¡os;R¡o Negro;24;57;previaje 1
2021-06;Entre R¡os;Salta;17;25;previaje 1
2021-06;Entre R¡os;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;12;42;previaje 1
2021-06;Entre R¡os;Tucum n;5;6;previaje 1
2021-06;Jujuy;R¡o Negro;3;4;previaje 1
2021-06;Mendoza;Ciudad Aut¢noma de Buenos Aires;6;15;previaje 1
2021-06;Mendoza;Mendoza;9;24;previaje 1
2021-06;Mendoza;Misiones;39;73;previaje 1
2021-06;Mendoza;Neuqu‚n;4;7;previaje 1
2021-06;Mendoza;R¡o Negro;7;16;previaje 1
2021-06;Mendoza;Salta;3;10;previaje 1
2021-06;Mendoza;Santiago del Estero;3;6;previaje 1
2021-06;Misiones;Misiones;4;19;previaje 1
2021-06;Misiones;R¡o Negro;12;36;previaje 1
2021-06;Misiones;Santa Cruz;4;10;previaje 1
2021-06;Misiones;Santiago del Estero;10;15;previaje 1
2021-06;Neuqu‚n;Ciudad Aut¢noma de Buenos Aires;8;20;previaje 1
2021-06;Neuqu‚n;Misiones;8;21;previaje 1
2021-06;Neuqu‚n;Neuqu‚n;80;188;previaje 1
2021-06;Neuqu‚n;R¡o Negro;4;15;previaje 1
